pmid,g2p_lgmde,label
38092275,"G2P01760 - ATAD3A - 612316.0 - HGNC:25567 - FLJ10709 - ATAD3A-related disorder with global developmental delay, hypotonia, optic atrophy, axonal neuropathy, and hypertrophic cardiomyopathy - 617183 - nan - monoallelic_autosomal - restricted mutation set - definitive - altered gene product structure - nan - dominant negative - inferred",0
23239648,G2P01236 - EFTUD2 - 603892.0 - HGNC:30858 - SNRNP116; SNRP116; SNU114; U5-116KD - EFTUD2-related mandibulofacial dysostosis with microcephaly - 610536 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,1
37338620,G2P00249 - PRRX1 - 167420.0 - HGNC:9142 - PHOX1; PMX1 - PRRX1-related agnathia-otocephaly complex - 202650 - nan - monoallelic_autosomal - restricted mutation set - limited - altered gene product structure - nan - dominant negative - inferred,0
32064601,G2P00738 - KMT2D - 602113.0 - HGNC:7133 - ALR; CAGL114; MLL2; MLL4; TNRC21 - KMT2D-related Kabuki syndrome - 147920 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
30824684,G2P00793 - EP300 - 602700.0 - HGNC:3373 - KAT3B; P300 - EP300-related Rubinstein-Taybi syndrome - 613684 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
2670134,G2P01621 - DMD - 300377.0 - HGNC:2928 - BMD; DXS142; DXS164; DXS206; DXS230; DXS239; DXS268; DXS269; DXS270; DXS272; MRX85 - DMD-related Duchenne muscular dystrophy - 310200 - nan - monoallelic_X_hemizygous - nan - definitive - absent gene product - nan - loss of function - inferred,0
21884214,G2P01263 - CTNNB1 - 116806.0 - HGNC:2514 - ARMADILLO; BETA-CATENIN; CTNNB - CTNNB1-related intellectual developmental disorder - 615075 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
26377085,"G2P01404 - ITPR1 - 147265.0 - HGNC:6180 - ACV; INSP3R1; IP3R1; PPP1R94; SCA15; SCA16; SCA29 - ITPR1-related pinocerebellar ataxia, congenital nonprogressive - 117360 - nan - monoallelic_autosomal - nan - strong - altered gene product structure - inframe_insertion; missense_variant; inframe_deletion - undetermined - inferred",0
23408344,G2P03201 - RYR2 - 180902.0 - HGNC:10484 - ARVC2; ARVD2; VTSIP - RYR2-related catecholaminergic polymorphic ventricular tachycardia and intellectual disability - nan - nan - monoallelic_autosomal - potential secondary finding - limited - altered gene product structure - inframe_insertion; missense_variant; inframe_deletion - undetermined - inferred,0
391605,G2P01711 - SET - 600960.0 - HGNC:10760 - 2PP2A; IGAAD; IPP2A2; PHAPII; TAF-I; TAF-IBETA - SET-related intellectual developmental disorder - nan - nan - monoallelic_autosomal - nan - strong - absent gene product - nan - loss of function - inferred,0
23417793,G2P01765 - CHD4 - 603277.0 - HGNC:1919 - MI-2B; MI2-BETA - CHD4-related syndromic intellectual disability with or without congenital heart disease - nan - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
25687647,G2P03370 - RRM1 - 180410.0 - HGNC:10451 - nan - RRM1-related mitochondrial DNA depletion/deletions syndrome - nan - nan - biallelic_autosomal - nan - limited - altered gene product structure - missense_variant - undetermined - inferred,0
25326197,G2P01765 - CHD4 - 603277.0 - HGNC:1919 - MI-2B; MI2-BETA - CHD4-related syndromic intellectual disability with or without congenital heart disease - nan - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
25487676,G2P03370 - RRM1 - 180410.0 - HGNC:10451 - nan - RRM1-related mitochondrial DNA depletion/deletions syndrome - nan - nan - biallelic_autosomal - nan - limited - altered gene product structure - missense_variant - undetermined - inferred,0
26271302,G2P01420 - CHD2 - 602119.0 - HGNC:1917 - DKFZP547I1315; DKFZP686E01200; DKFZP781D1727; FLJ38614 - CHD2-related epileptic encephalopathy - 615369 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
12852750,G2P00789 - KCNQ2 - 602235.0 - HGNC:6296 - BFNC; EBN; EBN1; ENB1; HNSPC; KCNA11; KV7.2 - KCNQ2-related benign neonatal epilepsy - 121200 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
15050644,G2P00789 - KCNQ2 - 602235.0 - HGNC:6296 - BFNC; EBN; EBN1; ENB1; HNSPC; KCNA11; KV7.2 - KCNQ2-related benign neonatal epilepsy - 121200 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
15603955,G2P00789 - KCNQ2 - 602235.0 - HGNC:6296 - BFNC; EBN; EBN1; ENB1; HNSPC; KCNA11; KV7.2 - KCNQ2-related benign neonatal epilepsy - 121200 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
17229572,G2P01234 - LRP5 - 603506.0 - HGNC:6697 - BMND1; EVR1; EVR4; HBM; LR3; LRP7; OPPG; OPS; OPTA1; VBCH2 - LRP5-related exudative vitreoretinopathy - 601813 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
28211987,G2P01073 - KANSL1 - 612452.0 - HGNC:24565 - CENP-36; DKFZP727C091; KIAA1267; MSL1V1; NSL1 - KANSL1-related chromosome 17q21.31 microdeletion syndrome - 610443 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,1
23954617,G2P00935 - CEP290 - 610142.0 - HGNC:29021 - 3H11AG; BBS14; CT87; FLJ13615; JBTS5; KIAA0373; LCA10; MKS4; NPHP6; POC3; RD16; SLSN6 - CEP290-related Joubert syndrome - 610188 - nan - biallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,1
35231335,G2P01518 - PDHA1 - 300502.0 - HGNC:8806 - E1ALPHA; PDHA - PDHA1-related intellectual disabiltiy - 312170 - nan - monoallelic_X_hemizygous - nan - definitive - absent gene product - nan - loss of function - inferred,0
8060456,G2P01518 - PDHA1 - 300502.0 - HGNC:8806 - E1ALPHA; PDHA - PDHA1-related intellectual disabiltiy - 312170 - nan - monoallelic_X_hemizygous - nan - definitive - absent gene product - nan - loss of function - inferred,0
22739344,G2P01018 - FOXG1 - 164874.0 - HGNC:3811 - BF1; FKH2; FKHL1; FKHL2; FKHL3; FKHL4; FOXG1A; FOXG1B; FOXG1C; HBF-3; HFK1; HFK2; HFK3; QIN - FOXG1-related congenital variant of Rett syndrome - 613454 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,1
23838309,G2P01018 - FOXG1 - 164874.0 - HGNC:3811 - BF1; FKH2; FKHL1; FKHL2; FKHL3; FKHL4; FOXG1A; FOXG1B; FOXG1C; HBF-3; HFK1; HFK2; HFK3; QIN - FOXG1-related congenital variant of Rett syndrome - 613454 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,1
22968132,G2P01018 - FOXG1 - 164874.0 - HGNC:3811 - BF1; FKH2; FKHL1; FKHL2; FKHL3; FKHL4; FOXG1A; FOXG1B; FOXG1C; HBF-3; HFK1; HFK2; HFK3; QIN - FOXG1-related congenital variant of Rett syndrome - 613454 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
20578197,G2P00590 - BCL11A - 606557.0 - HGNC:13221 - BCL11A-L; BCL11A-S; BCL11A-XL; CTIP1; EVI9; HBFQTL5; SMARCM1; ZNF856 - BCL11A-related intellectual disability - 617101 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
10660047,G2P00959 - KIF1A - 601255.0 - HGNC:888 - ATSV; C2ORF20; SPG30; UNC104 - KIF1A-related NESCAV syndrome - 614255 - nan - monoallelic_autosomal - nan - definitive - altered gene product structure - inframe_insertion; missense_variant; inframe_deletion - undetermined - inferred,0
24932903,G2P01420 - CHD2 - 602119.0 - HGNC:1917 - DKFZP547I1315; DKFZP686E01200; DKFZP781D1727; FLJ38614 - CHD2-related epileptic encephalopathy - 615369 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,1
25451714,G2P00246 - SRCAP - 611421.0 - HGNC:16974 - DOMO1; KIAA0309; SWR1 - SRCAP-related Floating-Harbor syndrome - 136140 - nan - monoallelic_autosomal - restricted mutation set - definitive - altered gene product structure - nan - dominant negative - inferred,1
