pmid,g2p_id_from,g2p_id_to,reason,date,by,label
25439098,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
28486374,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
32089526,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
33275834,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
33352606,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
33633953,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
33750045,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
34583915,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
35440576,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
34116881,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
25342064,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
27148565,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
29097605,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
29150892,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
29307761,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
31911028,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
33117858,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
33229923,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
34631953,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
34790866,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
34933843,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
35094889,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
35211951,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
36210261,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
26582469,G2P01518,G2P00694,PURA syndrome paper labelled against PDHA1-related intellectual disability; PURA entry is G2P00694,2026-09-01,MY,1
