pmid,g2p_lgmde,label
29498707,G2P02580 - HDAC8 - 300269.0 - HGNC:13315 - HDACL1; KDAC8; MRXS6; RPD3; WTS - HDAC8-related Cornelia de Lange syndrome - nan - nan - monoallelic_X_heterozygous - nan - definitive - absent gene product - nan - loss of function - inferred,0
33377604,G2P00670 - POGZ - 614787.0 - HGNC:18801 - KIAA0461; ZNF280E; ZNF635 - POGZ-related intellectual disability - 616364 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,1
25044655,G2P00570 - WDR45 - 300526.0 - HGNC:28912 - JM5; NBIA5; WDRX1; WIPI4 - WDR45-related neurodegeneration with brain iron accumulation - 300894 - nan - monoallelic_X_heterozygous - nan - definitive - absent gene product - nan - loss of function - inferred,1
26197980,G2P01211 - NEB - 161650.0 - HGNC:7720 - NEB177D; NEM2 - NEB-related typical nemaline myopathy - 256030 - nan - biallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
30919342,"G2P01760 - ATAD3A - 612316.0 - HGNC:25567 - FLJ10709 - ATAD3A-related disorder with global developmental delay, hypotonia, optic atrophy, axonal neuropathy, and hypertrophic cardiomyopathy - 617183 - nan - monoallelic_autosomal - restricted mutation set - definitive - altered gene product structure - nan - dominant negative - inferred",0
28500650,G2P01620 - SHANK1 - 604999.0 - HGNC:15474 - SPANK-1; SSTRIP; SYNAMON - SHANK1-related autism - 209850 - nan - monoallelic_autosomal - nan - strong - absent gene product - nan - loss of function - inferred,0
28274596,G2P00653 - USP9X - 300072.0 - HGNC:12632 - DFFRX; FAF; FAF-X; MRX99 - USP9X-related intellectual developmental disorder - 300919 - nan - monoallelic_X_heterozygous - nan - strong - absent gene product - nan - loss of function - inferred,0
24929385,G2P02440 - CHD3 - 602120.0 - HGNC:1918 - MI-2A; MI2-ALPHA; ZFH - CHD3-related macrocephaly and impaired speech and language - 618205 - nan - monoallelic_autosomal - nan - strong - altered gene product structure - inframe_insertion; missense_variant; inframe_deletion - undetermined - inferred,0
11504907,G2P01220 - MTOR - 601231.0 - HGNC:3942 - FLJ44809; FRAP; FRAP1; FRAP2; RAFT1; RAPT1 - MTOR-related Smith-Kingsmore syndrome - 616638 - nan - monoallelic_autosomal - nan - definitive - altered gene product structure - inframe_insertion; missense_variant; inframe_deletion - undetermined - inferred,0
29872488,G2P00793 - EP300 - 602700.0 - HGNC:3373 - KAT3B; P300 - EP300-related Rubinstein-Taybi syndrome - 613684 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
34950514,G2P00249 - PRRX1 - 167420.0 - HGNC:9142 - PHOX1; PMX1 - PRRX1-related agnathia-otocephaly complex - 202650 - nan - monoallelic_autosomal - restricted mutation set - limited - altered gene product structure - nan - dominant negative - inferred,0
26883359,G2P03185 - ATG7 - 608760.0 - HGNC:16935 - APG7L; DKFZP434N0735; GSA7 - ATG7-related intellectual disability and ataxia - 619422 - nan - biallelic_autosomal - nan - strong - absent gene product - nan - loss of function - inferred,0
27268264,G2P03185 - ATG7 - 608760.0 - HGNC:16935 - APG7L; DKFZP434N0735; GSA7 - ATG7-related intellectual disability and ataxia - 619422 - nan - biallelic_autosomal - nan - strong - absent gene product - nan - loss of function - inferred,0
33280500,G2P03328 - CLDN5 - 602101.0 - HGNC:2047 - AWAL; BEC1; CPETRL1; TMVCF - CLDN5-related neurodevelopmental disorder - nan - MONDO:0700092 - monoallelic_autosomal - restricted mutation set - limited - altered gene product structure - nan - undetermined - inferred,0
28139822,G2P01438 - ADAR - 146920.0 - HGNC:225 - ADAR1; DRADA; G1P1; IFI4 - ADAR-related Aicardi-Goutieres syndrome associated with a type I interferon signature - 615010 - nan - biallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,1
20690115,G2P00935 - CEP290 - 610142.0 - HGNC:29021 - 3H11AG; BBS14; CT87; FLJ13615; JBTS5; KIAA0373; LCA10; MKS4; NPHP6; POC3; RD16; SLSN6 - CEP290-related Joubert syndrome - 610188 - nan - biallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,1
9178262,G2P00495 - CASK - 300172.0 - HGNC:1497 - CAGH39; FGS4; LIN2; TNRC8 - CASK-related intellectual developmental disorder - 300749 - nan - monoallelic_X_heterozygous - nan - definitive - absent gene product - nan - loss of function - inferred,0
23134727,G2P01399 - CHD7 - 608892.0 - HGNC:20626 - CRG; FLJ20357; FLJ20361; KIAA1416 - CHD7-related CHARGE syndrome - 214800 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
26340334,G2P00326 - ARID1B - 614556.0 - HGNC:18040 - 6A3-5; BAF250B; DAN15; ELD/OSA1; KIAA1235; P250R; SMARCF2 - ARID1B-related Coffin-Siris Syndrome - 135900 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
1312531,G2P01518 - PDHA1 - 300502.0 - HGNC:8806 - E1ALPHA; PDHA - PDHA1-related intellectual disabiltiy - 312170 - nan - monoallelic_X_hemizygous - nan - definitive - absent gene product - nan - loss of function - inferred,0
25654278,G2P02440 - CHD3 - 602120.0 - HGNC:1918 - MI-2A; MI2-ALPHA; ZFH - CHD3-related macrocephaly and impaired speech and language - 618205 - nan - monoallelic_autosomal - nan - strong - altered gene product structure - inframe_insertion; missense_variant; inframe_deletion - undetermined - inferred,0
36003495,G2P00684 - PDHA1 - 300502.0 - HGNC:8806 - E1ALPHA; PDHA - PDHA1-related pyruvate dehydrogenase E1-alpha deficiency (in females) - 312170 - nan - monoallelic_X_heterozygous - nan - definitive - absent gene product - nan - loss of function - inferred,0
11804776,G2P03231 - HYAL2 - 603551.0 - HGNC:5321 - LUCA-2; LUCA2 - HYAL2-related syndrome with cleft lip and palate and congenital cardiac anomalies - nan - nan - biallelic_autosomal - nan - strong - absent gene product - nan - undetermined - inferred,0
28720576,G2P00653 - USP9X - 300072.0 - HGNC:12632 - DFFRX; FAF; FAF-X; MRX99 - USP9X-related intellectual developmental disorder - 300919 - nan - monoallelic_X_heterozygous - nan - strong - absent gene product - nan - loss of function - inferred,0
20981014,G2P01160 - DYRK1A - 600855.0 - HGNC:3091 - DYRK; DYRK1; MNBH - DYRK1A-related intellectual developmental disorder - 614104 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
22311635,G2P00974 - MEF2C - 600662.0 - HGNC:6996 - nan - MEF2C-related intellectual developmental disorder-stereotypic movements-epilepsy and/or cerebral malformations - 613443 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
11071382,G2P01013 - FBN1 - 134797.0 - HGNC:3603 - FBN; MASS; MFS1; OCTD; SGS; WMS - FBN1-related Marfan syndrome - 154700 - nan - monoallelic_autosomal - nan - definitive - absent gene product; altered gene product structure - nan - loss of function - inferred,0
16582438,G2P03097 - MED27 - 605044.0 - HGNC:2377 - CRSP34; CRSP8; MED3; TRAP37 - MED27-related neurodevelopmental disorder - nan - MONDO:0700092 - biallelic_autosomal - nan - strong - absent gene product - nan - loss of function - inferred,0
20736978,G2P01018 - FOXG1 - 164874.0 - HGNC:3811 - BF1; FKH2; FKHL1; FKHL2; FKHL3; FKHL4; FOXG1A; FOXG1B; FOXG1C; HBF-3; HFK1; HFK2; HFK3; QIN - FOXG1-related congenital variant of Rett syndrome - 613454 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,1
29128679,"G2P01608 - SCN8A - 600702.0 - HGNC:10596 - CERIII; CIAT; MED; NACH6; NAV1.6; PN4 - SCN8A-related epileptic encephalopathy, early infantile - 614558 - nan - monoallelic_autosomal - restricted mutation set - definitive - altered gene product structure - nan - dominant negative - inferred",1
34610961,G2P01872 - SIN3A - 607776.0 - HGNC:19353 - DKFZP434K2235; KIAA0700 - SIN3A-related syndromic intellectual disability - 612100 - nan - monoallelic_autosomal - nan - strong - absent gene product - nan - loss of function - inferred,0
27184330,G2P01128 - STXBP1 - 602926.0 - HGNC:11444 - HUNC18; MUNC18-1; NSEC1; RBSEC1; UNC18 - STXBP1-related epileptic encephalopathy early infantile - 612164 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,1
22801970,G2P00590 - BCL11A - 606557.0 - HGNC:13221 - BCL11A-L; BCL11A-S; BCL11A-XL; CTIP1; EVI9; HBFQTL5; SMARCM1; ZNF856 - BCL11A-related intellectual disability - 617101 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
29383814,G2P01702 - CSNK2A1 - 115440.0 - HGNC:2457 - CKA1; CKA2 - CSNK2A1-related neurodevelopmental disorder - 617062 - nan - monoallelic_autosomal - restricted mutation set - definitive - altered gene product structure - nan - gain of function - inferred,1
24759099,G2P01786 - PIEZO1 - 611184.0 - HGNC:28993 - FAM38A; KIAA0233 - PIEZO1-related congenital lymphatic dysplasia with hydrops and/or lymphoedema - nan - nan - biallelic_autosomal - nan - strong - absent gene product - nan - loss of function - inferred,0
26400349,G2P01085 - GCH1 - 600225.0 - HGNC:4193 - DYT14; DYT5; DYT5A; GCH; GTPCH1 - GCH1-related dystonia - 128230 - nan - monoallelic_autosomal - nan - definitive - uncertain - nan - undetermined - inferred,1
9585358,G2P01085 - GCH1 - 600225.0 - HGNC:4193 - DYT14; DYT5; DYT5A; GCH; GTPCH1 - GCH1-related dystonia - 128230 - nan - monoallelic_autosomal - nan - definitive - uncertain - nan - undetermined - inferred,1
37894922,G2P00353 - EHMT1 - 607001.0 - HGNC:24650 - BA188C12.1; EHMT1-IT1; EU-HMTASE1; FLJ12879; FLJ40292; GLP; KIAA1876; KMT1D - EHMT1-related Kleefstra syndrome - nan - MONDO:0012455 - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
26090719,G2P03185 - ATG7 - 608760.0 - HGNC:16935 - APG7L; DKFZP434N0735; GSA7 - ATG7-related intellectual disability and ataxia - 619422 - nan - biallelic_autosomal - nan - strong - absent gene product - nan - loss of function - inferred,0
30978340,G2P01705 - KDM5B - 605393.0 - HGNC:18039 - CT31; JARID1B; PLU-1; PPP1R98; RBBP2H1A - KDM5B-related neurodevelopmental disorder - nan - nan - biallelic_autosomal - nan - strong - absent gene product; altered gene product structure - nan - loss of function - inferred,0
30143999,G2P01406 - KMT2A - 159555.0 - HGNC:7132 - ALL-1; ALL1; CXXC7; HRX; HTRX; HTRX1; MLL; MLL1; MLL1A; TRX1 - KMT2A-related Wiedemann-Steiner syndrome - 605130 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
37864403,G2P03184 - PUS3 - 616283.0 - HGNC:25461 - DEG1; FKSG32 - PUS3-related neurodevelopmental disorder with microcephaly and gray sclerae - nan - nan - biallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
36798993,G2P00374 - MED13L - 608771.0 - HGNC:22962 - KIAA1025; THRAP2; TRAP240L - MED13L-related intellectual disability - 616789 - nan - monoallelic_autosomal - nan - strong - absent gene product - nan - loss of function - inferred,0
35332768,G2P01894 - MORC2 - 616661.0 - HGNC:23573 - AC004542.C22.1; KIAA0852; ZCW3; ZCWCC1 - MORC2-related axonal neuropathy and neurodevelopmental disorder - nan - nan - monoallelic_autosomal - nan - strong - altered gene product structure - inframe_insertion; missense_variant; inframe_deletion - undetermined - inferred,1
16272155,"G2P00371 - DNM1 - 602377.0 - HGNC:2972 - DNM - DNM1-related microcephaly, developmental and epileptic encephalopathy - 620352 - nan - monoallelic_autosomal - nan - strong - altered gene product structure - splice_region_variant; intron_variant; missense_variant - dominant negative - inferred",0
9758623,G2P00012 - FGFR3 - 134934.0 - HGNC:3690 - ACH; CD333; CEK2; JTK4 - FGFR3-related lacrimo-auriculo-dento-digital syndrome (LADD)  - 149730 - nan - monoallelic_autosomal - nan - definitive - altered gene product structure - inframe_insertion; missense_variant; inframe_deletion - undetermined - inferred,0
31308851,G2P03471 - EIF4A2 - 601102.0 - HGNC:3284 - BM-010; DDX2B; EIF4A; EIF4F - EIF4A2-related neurodevelopmental disorder with hypotonia and epilepsy - 620455 - nan - monoallelic_autosomal - typically de novo - moderate - altered gene product structure - frameshift_variant_NMD_triggering; missense_variant - undetermined - inferred,0
1671807,G2P00037 - COL2A1 - 120140.0 - HGNC:2200 - AOM; SEDC; STL1 - COL2A1-related Kniest dysplasia - 156550 - nan - monoallelic_autosomal - restricted mutation set - definitive - altered gene product structure - nan - dominant negative - inferred,0
33466780,G2P03173 - KCNA1 - 176260.0 - HGNC:6218 - AEMK; HUK1; KV1.1; MBK1; RBK1 - KCNA1-related epileptic encephalopathy - nan - nan - biallelic_autosomal - nan - limited - altered gene product structure - inframe_insertion; missense_variant; inframe_deletion - undetermined - inferred,0
23973696,G2P03201 - RYR2 - 180902.0 - HGNC:10484 - ARVC2; ARVD2; VTSIP - RYR2-related catecholaminergic polymorphic ventricular tachycardia and intellectual disability - nan - nan - monoallelic_autosomal - potential secondary finding - limited - altered gene product structure - inframe_insertion; missense_variant; inframe_deletion - undetermined - inferred,0
16810678,G2P01420 - CHD2 - 602119.0 - HGNC:1917 - DKFZP547I1315; DKFZP686E01200; DKFZP781D1727; FLJ38614 - CHD2-related epileptic encephalopathy - 615369 - nan - monoallelic_autosomal - nan - definitive - absent gene product - nan - loss of function - inferred,0
