g2p id,gene symbol,gene mim,hgnc id,previous gene symbols,disease name,disease mim,disease MONDO,allelic requirement,cross cutting modifier,confidence,inferred variant consequence,variant types,molecular mechanism,molecular mechanism categorisation,molecular mechanism evidence,phenotypes,publications,panel,comments,date of last review
G2P00012,FGFR3,134934,HGNC:3690,ACH; CD333; CEK2; JTK4,FGFR3-related lacrimo-auriculo-dento-digital syndrome (LADD) ,149730,,monoallelic_autosomal,,definitive,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,HP:0003974; HP:0004209; HP:0003022; HP:0000579; HP:0000974; HP:0007656; HP:0007732; HP:0007892; HP:0007900; HP:0010055; HP:0008743; HP:0002984; HP:0005707; HP:0100258; HP:0006297; HP:0011065; HP:0009462; HP:0009740; HP:0009741; HP:0009944; HP:0000104; HP:0100583; HP:0000006; HP:0000198; HP:0000217; HP:0000316; HP:0000337; HP:0000378; HP:0000410; HP:0000494; HP:0000620; HP:0000629; HP:0000668; HP:0000670; HP:0000680; HP:0001092; HP:0001233; HP:0001245,28483234; 16501574,DD; Eye; Skeletal,,2024-08-22 18:59:21+00:00
G2P00033,SCN2A,182390,HGNC:10588,HBSCI; HBSCII; NAV1.2; SCN2A1; SCN2A2,SCN2A-related nonspecific severe intellectual disability,,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,30062040,DD,,2015-07-22 16:14:11+00:00
G2P00037,COL2A1,120140,HGNC:2200,AOM; SEDC; STL1,COL2A1-related Kniest dysplasia,156550,,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,dominant negative,inferred,,HP:0003273; HP:0000926; HP:0001288; HP:0003417; HP:0003521; HP:0002663; HP:0003015; HP:0003037; HP:0004619; HP:0002098; HP:0000947; HP:0002829; HP:0000541; HP:0000518; HP:0008271; HP:0000405; HP:0002779; HP:0002827; HP:0008839; HP:0000175; HP:0001270; HP:0002812; HP:0005280; HP:0006172; HP:0000545; HP:0200003; HP:0000006; HP:0000023; HP:0000272; HP:0000311; HP:0000403; HP:0000470; HP:0000520; HP:0001537,7874117; 7981752; 7849719; 26626311; 26443184; 8702139; 8863156; 8893763; 9452022,DD; Eye; Skeletal,,2023-05-24 09:07:26+00:00
G2P00044,LRP5,603506,HGNC:6697,BMND1; EVR1; EVR4; HBM; LR3; LRP7; OPPG; OPS; OPTA1; VBCH2,LRP5-related osteopetrosis,601884,,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,gain of function,inferred,,HP:0001939; HP:0002644; HP:0000925; HP:0001507; HP:0000935; HP:0004425; HP:0004563; HP:0002315; HP:0008114; HP:0000407; HP:0000405; HP:0000689; HP:0002684; HP:0005789; HP:0006174; HP:0100789; HP:0100861; HP:0100923; HP:0000006,14727154; 11741193; 12579474,DD; Skeletal,,2024-09-11 14:04:28+00:00
G2P00140,TCF4,602272,HGNC:11634,BHLHB19; E2-2; ITF2; SEF2-1B,TCF4-related Pitt-Hopkins syndrome,610954,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0001252; HP:0000252; HP:0002883; HP:0001250; HP:0002066; HP:0000954; HP:0000028; HP:0000718; HP:0002019; HP:0002020; HP:0002079; HP:0001270; HP:0002311; HP:0000486; HP:0000687; HP:0000545; HP:0000483; HP:0006887; HP:0010864; HP:0001763; HP:0001217; HP:0000194; HP:0000006; HP:0000054; HP:0000280; HP:0000293; HP:0000322; HP:0000341; HP:0000378; HP:0000431; HP:0000470; HP:0000490; HP:0000582; HP:0001182; HP:0001344; HP:0001786,18728071; 17436255; 17436254; 30848346; 29695756; 29604340; 27132474; 23528641; 22670824; 22045651; 20205897; 20184619; 19938247; 19235238,DD,,2025-01-28 09:32:35+00:00
G2P00144,FGFR2,176943,HGNC:3689,BEK; CD332; CEK3; CFD1; ECT1; JWS; K-SAM; KGFR; TK14; TK25,FGFR2-related Crouzon syndrome,123500,,monoallelic_autosomal,restricted mutation set,definitive,altered gene product structure,,gain of function,inferred,,HP:0003319; HP:0004440; HP:0004442; HP:0004443; HP:0000248; HP:0000505; HP:0001250; HP:0000509; HP:0000648; HP:0000405; HP:0002007; HP:0001249; HP:0001739; HP:0010535; HP:0000486; HP:0000327; HP:0000413; HP:0000006; HP:0000303; HP:0000316; HP:0000586; HP:0000678,9152842; 7987400; 7581378; 15523492; 7874170; 22038757; 7607643; 7655462; 9677057; 8528214; 17621648; 7558045; 7773284; 8956050; 10574673,DD; Skin; Skeletal,,2025-01-21 21:25:35+00:00
G2P00211,BCOR,300485,HGNC:20893,FLJ20285; KIAA1575,BCOR-related syndromic microphthalmia ,300166,,monoallelic_X_heterozygous,,definitive,absent gene product,,loss of function,inferred,,HP:0004322; HP:0000252; HP:0004691; HP:0001634; HP:0000599; HP:0002974; HP:0007968; HP:0001631; HP:0000568; HP:0000508; HP:0007733; HP:0007833; HP:0000572; HP:0000581; HP:0000501; HP:0000407; HP:0001153; HP:0000175; HP:0000689; HP:0011324; HP:0000528; HP:0001629; HP:0001643; HP:0000677; HP:0001549; HP:0000684; HP:0030027; HP:0011069; HP:0006335; HP:0000577; HP:0010722; HP:0040080; HP:0011090; HP:0000176; HP:0000193; HP:0000275; HP:0000276; HP:0000343; HP:0000358; HP:0000426; HP:0000455; HP:0000456; HP:0000482; HP:0000574; HP:0001126; HP:0001256; HP:0001423; HP:0001650; HP:0001765,15957158; 15004558; 19367324; 15770227; 28317252; 31048080; 29974297; 23557072; 25337074; 26108280; 26196063; 29058245,DD; Eye,,2017-05-10 16:46:51+00:00
G2P00249,PRRX1,167420,HGNC:9142,PHOX1; PMX1,PRRX1-related agnathia-otocephaly complex,202650,,monoallelic_autosomal,restricted mutation set,limited,altered gene product structure,,dominant negative,inferred,,HP:0000347; HP:0003812; HP:0000478; HP:0002098; HP:0001360; HP:0000405; HP:0008749; HP:0002779; HP:0000175; HP:0005349; HP:0100663; HP:0000006; HP:0000007; HP:0000160; HP:0000171; HP:0000494; HP:0001274; HP:0001696,22211708; 23444262; 21294718; 22674740; 37154149,DD,,2025-01-27 14:49:20+00:00
G2P00326,ARID1B,614556,HGNC:18040,6A3-5; BAF250B; DAN15; ELD/OSA1; KIAA1235; P250R; SMARCF2,ARID1B-related Coffin-Siris Syndrome,135900,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0011844; HP:0002817; HP:0001155; HP:0001252; HP:0001167; HP:0011297; HP:0000153; HP:0000271; HP:0000929; HP:0000366; HP:0000598; HP:0002500; HP:0000159; HP:0000492; HP:0001263,22426309; 22426308; 22405089; 30349098; 24569609; 26395437; 27474217; 27474218; 27511161; 27570168; 27672547; 28323383; 29504208; 29864107; 30933046; 31105273; 31628733; 31733398; 31981384; 32161024; 32339967; 32462407; 32574611; 32618029; 32924124; 33714239; 33936271; 34056762; 34440449; 34730517; 35315036; 35879281; 35964110; 36352633; 36588753; 34775996,DD; Skin; Skeletal,,2024-12-13 11:11:03+00:00
G2P00353,EHMT1,607001,HGNC:24650,BA188C12.1; EHMT1-IT1; EU-HMTASE1; FLJ12879; FLJ40292; GLP; KIAA1876; KMT1D,EHMT1-related Kleefstra syndrome,,MONDO:0012455,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,HP:0000047; HP:0001252; HP:0003745; HP:0000733; HP:0000377; HP:0000252; HP:0000248; HP:0001762; HP:0012210; HP:0002205; HP:0000722; HP:0000158; HP:0002360; HP:0001250; HP:0000954; HP:0000365; HP:0000028; HP:0000718; HP:0001513; HP:0000750; HP:0001710; HP:0002020; HP:0001249; HP:0002786; HP:0000741; HP:0006335; HP:0010806; HP:0010808; HP:0010864; HP:0000006; HP:0000054; HP:0000232; HP:0000272; HP:0000280; HP:0000303; HP:0000316; HP:0000463; HP:0000582; HP:0000664; HP:0000695; HP:0000717,19264732; 16826528; 28498556; 28361100; 27123477; 23232695; 25349628; 27651234; 28361099; 29416845; 30370152; 34265435,DD,,2019-03-07 17:30:14+00:00
